Exp. Cell Density	Filtered?	SYBR?	PI?	Notes	runtime	bead_events	cell_events	noise_events	concentration
750000.0	False	False	False	Unstained Cells control	67.482998046875	997.0	7819.0	0.0	1568505.516549649
0.0		False	False	Just Beads Control	40.29300048828125	998.0	822.0	0.0	164729.45891783567
0.0	False	True	False	Media Control	83.43	993.0	5.0	2468.0	1007.0493454179255
0.0	False	True	False	Contamination Control	97.902998046875	992.0	51.0	8981.0	10282.258064516129
750000000.0	False	True	False		179.12701171875	1072.0	3953218.0	41656.0	737540671.6417911
75000000.0	False	True	False		88.242998046875	1098.0	612978.0	7464.0	111653551.91256832
7500000.0	False	True	False		78.785	1001.0	63102.0	1651.0	12607792.207792208
750000.0	False	True	False		71.372998046875	993.0	5782.0	876.0	1164551.8630412892
75000.0	False	True	False		92.472998046875	998.0	681.0	1127.0	136472.94589178357
7500.0	False	True	False		74.5069970703125	994.0	57.0	816.0	11468.812877263581
750.0	False	True	False		179.226015625	714.0	10.0	1705.0	2801.120448179272
75.0	False	True	False		178.7119921875	29.0	1.0	565.0	6896.551724137931
750000000.0	True	True	False		179.37900390625	708.0	4131826.0	52844.0	1167182485.8757062
75000000.0	True	True	False		94.11	1018.0	558859.0	9953.0	109795481.33595285
7500000.0	True	True	False		80.66	992.0	47366.0	5353.0	9549596.77419355
750000.0	True	True	False		77.01	990.0	4563.0	6706.0	921818.1818181819
75000.0	True	True	False		179.418984375	716.0	675.0	17123.0	188547.48603351956
7500.0	True	True	False		82.765	985.0	147.0	26454.0	29847.71573604061
750.0	True	True	False		106.88599609375	995.0	25.0	20162.0	5025.125628140704
75.0	True	True	False		111.247001953125	991.0	233.0	31884.0	47023.20887991928
375000000.0	False	True	True		179.2030078125	94.0	218502.0	93239.0	464897872.3404255
37500000.0	False	True	True		74.55	1000.0	72738.0	256280.0	14547600.0
3750000.0	False	True	True		73.242001953125	1001.0	3401.0	30832.0	679520.4795204796
375000.0	False	True	True		69.812001953125	995.0	304.0	3440.0	61105.52763819096
37500.0	False	True	True		79.4169970703125	995.0	19.0	1087.0	3819.095477386935
3750.0	False	True	True		73.525	999.0	5.0	788.0	1001.001001001001
375.0	False	True	True		82.398994140625	994.0	1.0	849.0	201.2072434607646
38.0	False	True	True		76.7419970703125	996.0	0.0	688.0	0.0
375000000.0	True	True	True		125.243994140625	958.0	1083941.0	983166.0	226292484.34238
37500000.0	True	True	True		99.073994140625	996.0	39762.0	252462.0	7984337.34939759
3750000.0	True	True	True		102.893994140625	999.0	1744.0	36444.0	349149.14914914913
375000.0	True	True	True		78.715	995.0	199.0	19194.0	40000.0
37500.0	True	True	True		80.6360009765625	996.0	39.0	13571.0	7831.32530120482
3750.0	True	True	True		84.778994140625	994.0	10.0	6386.0	2012.0724346076458
375.0	True	True	True		99.006005859375	998.0	11.0	7989.0	2204.4088176352707
38.0	True	True	True		68.08099609375	996.0	34.0	26027.0	6827.309236947792
